measurement_id,chembl_id,paper_label,endpoint,state,relation,value,error,units,assay_context,assay_id,assay_chembl_id,source_kind,source_ref
m_bos_9_caco_blap,CHEMBL5435819,9,Papp,Caco2_BL_to_AP,=,4.0,,10^-6 cm/s,human_Caco2_BL_to_AP,2364282,,ChEMBL,activity_25669013
m_bos_3_caco_efflux,CHEMBL288441,3,efflux_ratio,Caco2,=,12.1,,ratio,human_Caco2_BL_to_AP_over_AP_to_BL,2364283,,ChEMBL,activity_25669014
m_bos_9_caco_efflux,CHEMBL5435819,9,efflux_ratio,Caco2,=,3.6,,ratio,human_Caco2_BL_to_AP_over_AP_to_BL,2364283,,ChEMBL,activity_25669015
m_bos_3_mdck_apbl,CHEMBL288441,3,Papp,MDCKII_MDR1_AP_to_BL,=,0.4,,10^-6 cm/s,dog_MDCKII_MDR1_AP_to_BL,2364284,,ChEMBL,activity_25669016
m_bos_9_mdck_apbl,CHEMBL5435819,9,Papp,MDCKII_MDR1_AP_to_BL,=,0.5,,10^-6 cm/s,dog_MDCKII_MDR1_AP_to_BL,2364284,,ChEMBL,activity_25669017
m_bos_3_mdck_blap,CHEMBL288441,3,Papp,MDCKII_MDR1_BL_to_AP,=,11.3,,10^-6 cm/s,dog_MDCKII_MDR1_BL_to_AP,2364285,,ChEMBL,activity_25669018
m_bos_9_mdck_blap,CHEMBL5435819,9,Papp,MDCKII_MDR1_BL_to_AP,=,10.3,,10^-6 cm/s,dog_MDCKII_MDR1_BL_to_AP,2364285,,ChEMBL,activity_25669019
m_bos_3_herg_ic50,CHEMBL288441,3,hERG_IC50,not_applicable,=,1010.0,,nM,human_hERG_HEK293_patch_clamp,2364286,,ChEMBL,activity_25669020
m_bos_9_herg_ic50,CHEMBL5435819,9,hERG_IC50,not_applicable,=,3410.0,,nM,human_hERG_HEK293_patch_clamp,2364286,,ChEMBL,activity_25669021
m_bos_3_herg_1um,CHEMBL288441,3,hERG_inhibition,1_uM,=,52.0,,%,human_hERG_HEK293_patch_clamp,2364287,,ChEMBL,activity_25669022
m_bos_9_herg_1um,CHEMBL5435819,9,hERG_inhibition,1_uM,=,24.0,,%,human_hERG_HEK293_patch_clamp,2364287,,ChEMBL,activity_25669023
m_bos_3_herg_10um,CHEMBL288441,3,hERG_inhibition,10_uM,=,93.0,,%,human_hERG_HEK293_patch_clamp,2364288,,ChEMBL,activity_25669024
m_bos_9_herg_10um,CHEMBL5435819,9,hERG_inhibition,10_uM,=,83.0,,%,human_hERG_HEK293_patch_clamp,2364288,,ChEMBL,activity_25669025
m_bos_3_ku812,CHEMBL288441,3,cell_growth_IC50,KU812,=,3.6,,nM,human_KU812_72h_CellTiterGlo,2364308,,ChEMBL,activity_25669050
m_bos_9_ku812,CHEMBL5435819,9,cell_growth_IC50,KU812,=,5.2,,nM,human_KU812_72h_CellTiterGlo,2364308,,ChEMBL,activity_25669051
m_bos_3_meg01,CHEMBL288441,3,cell_growth_IC50,MEG_01,=,13.0,,nM,human_MEG01_72h_CellTiterGlo,2364309,,ChEMBL,activity_25669052
m_bos_9_meg01,CHEMBL5435819,9,cell_growth_IC50,MEG_01,=,25.0,,nM,human_MEG01_72h_CellTiterGlo,2364309,,ChEMBL,activity_25669053
m_bos_3_supb15,CHEMBL288441,3,cell_growth_IC50,SUP_B15,=,210.0,,nM,human_SUPB15_72h_CellTiterGlo,2364310,,ChEMBL,activity_25669054
m_bos_9_supb15,CHEMBL5435819,9,cell_growth_IC50,SUP_B15,=,410.0,,nM,human_SUPB15_72h_CellTiterGlo,2364310,,ChEMBL,activity_25669055
m_bos_3_molt4,CHEMBL288441,3,cell_growth_IC50,MOLT_4_BCR_ABL_negative,>,2000.0,,nM,human_MOLT4_72h_CellTiterGlo,2364311,,ChEMBL,activity_25669056
m_bos_9_molt4,CHEMBL5435819,9,cell_growth_IC50,MOLT_4_BCR_ABL_negative,>,2000.0,,nM,human_MOLT4_72h_CellTiterGlo,2364311,,ChEMBL,activity_25669057
m_bos_17_pka_terminal,CHEMBL5431908,17,pKa,terminal_N_methylamine,=,8.1,,pKa,pH_metric_fragment_pKa,,,paper,paper_Figure_3
m_bos_18_pka_terminal,CHEMBL5408134,18,pKa,terminal_N_methylamine,=,7.4,,pKa,pH_metric_fragment_pKa,,,paper,paper_Figure_3
